Task name,Start stamp,End stamp,Duration,Number of errors,Completed,SubTask,Kod badanego,Testowany interfejs
PauseAndResume,15:17:19.853,15:17:28.404,8551.693599999999,0,True,,sub-08,Przyciski wzrokowe
SetPanelAndVideo,15:17:33.847,15:17:41.977,8130.184199999989,1,True,,sub-08,Przyciski wzrokowe
FeedForward,15:17:47.178,15:17:58.580,11402.116500000006,1,True,,sub-08,Przyciski wzrokowe
Pause,15:18:03.79,15:18:03.606,526.9875000000175,1,False,,sub-08,Przyciski wzrokowe
FeedForward,11:18:33.19,11:19:23.631,50612.1632,3,True,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,11:19:23.710,11:20:06.141,42430.0784,1,False,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,11:20:13.312,11:22:17.567,124254.7907,1,False,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,11:22:23.804,11:22:27.924,4119.68829999998,0,True,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,11:22:33.943,11:23:00.903,26960.2506,24,True,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,11:23:06.987,11:23:12.569,5581.480700000015,1,False,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,11:23:21.184,11:24:11.880,50696.717400000016,0,True,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,11:24:16.115,11:24:18.977,2862.95769999997,0,True,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,11:24:27.672,11:26:00.609,92937.3151,1,True,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,11:26:00.609,11:26:59.438,58829.21509999997,1,True,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,11:27:02.561,11:27:06.971,4410.0293999999985,0,True,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,11:27:14.143,11:27:23.302,9158.745200000003,7,False,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,11:27:31.465,11:27:45.557,14092.113799999934,1,True,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
Pause,11:27:49.72,11:27:49.744,671.8438000000315,1,False,,sub-07,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,10:50:10.652,10:50:22.902,12249.0596,0,True,,sub-07,Obszary aktywowane spojrzeniem
IncreaseVolume,10:50:25.895,10:50:47.907,22012.0143,6,True,,sub-07,Obszary aktywowane spojrzeniem
PauseAndResume,10:50:48.988,10:51:00.722,11734.7062,1,True,,sub-07,Obszary aktywowane spojrzeniem
SetVideo,10:51:05.933,10:51:10.176,4243.029999999999,0,False,,sub-07,Obszary aktywowane spojrzeniem
FeedForward,10:51:15.110,10:51:36.496,21386.644700000004,7,True,,sub-07,Obszary aktywowane spojrzeniem
FeedForward,10:51:41.38,10:51:53.335,12296.4847,4,True,,sub-07,Obszary aktywowane spojrzeniem
PauseAndResume,10:51:53.468,10:52:02.837,9369.00480000001,1,False,,sub-07,Obszary aktywowane spojrzeniem
IncreaseVolume,10:52:07.596,10:52:27.608,20011.959299999988,3,True,,sub-07,Obszary aktywowane spojrzeniem
SetPanelAndVideo,10:52:34.267,10:52:48.174,13907.317299999995,0,False,,sub-07,Obszary aktywowane spojrzeniem
ReduceVolume,10:53:01.157,10:53:42.289,41132.45810000002,11,True,,sub-07,Obszary aktywowane spojrzeniem
PauseAndResume,10:53:42.289,10:53:54.527,12238.250499999995,0,True,,sub-07,Obszary aktywowane spojrzeniem
SetPanelAndVideo,10:54:01.221,10:54:14.232,13011.266600000004,4,False,,sub-07,Obszary aktywowane spojrzeniem
FeedForward,10:54:18.477,10:54:28.31,9554.467499999972,4,True,,sub-07,Obszary aktywowane spojrzeniem
Pause,10:54:30.901,10:54:32.502,1601.8796999999906,1,False,,sub-07,Obszary aktywowane spojrzeniem
FeedForward,10:23:00.633,10:23:38.252,37619.1693,4,True,,sub-07,Przyciski wzrokowe
IncreaseVolume,10:23:45.792,10:23:51.28,5235.585999999996,5,False,,sub-07,Przyciski wzrokowe
PauseAndResume,10:23:56.178,10:24:01.820,5641.855899999995,0,True,,sub-07,Przyciski wzrokowe
SetVideo,10:24:04.261,10:24:09.958,5697.713699999993,4,True,,sub-07,Przyciski wzrokowe
FeedForward,10:24:17.863,10:24:26.351,8487.647299999997,2,False,,sub-07,Przyciski wzrokowe
PauseAndResume,10:24:42.860,10:24:54.390,11529.753999999999,12,False,,sub-07,Przyciski wzrokowe
IncreaseVolume,10:25:02.60,10:25:11.914,9853.57920000001,3,True,,sub-07,Przyciski wzrokowe
SetPanelAndVideo,10:25:13.284,10:25:17.183,3899.275300000008,1,False,,sub-07,Przyciski wzrokowe
FeedForward,10:25:23.790,10:25:31.430,7639.952000000019,0,True,,sub-07,Przyciski wzrokowe
Rewind,10:25:37.32,10:25:43.272,6239.949900000007,6,False,,sub-07,Przyciski wzrokowe
ReduceVolume,10:25:47.629,10:25:55.857,8228.415299999993,2,False,,sub-07,Przyciski wzrokowe
PauseAndResume,10:26:03.485,10:26:11.306,7820.749899999995,4,False,,sub-07,Przyciski wzrokowe
SetPanelAndVideo,10:26:15.965,10:26:22.517,6551.6263000000035,9,False,,sub-07,Przyciski wzrokowe
Pause,10:26:26.352,10:26:29.252,2899.3467999999993,1,False,,sub-07,Przyciski wzrokowe
FeedForward,15:46:30.672,15:47:01.310,30637.900000000016,0,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,15:47:07.486,15:47:28.904,21418.494900000005,0,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,15:47:33.704,15:47:44.740,11035.24470000001,2,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,15:47:49.985,15:47:53.972,3987.103399999993,0,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,15:47:59.221,15:49:02.657,63436.053,0,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,15:49:08.37,15:49:11.598,3560.3227999999945,0,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,15:49:15.607,15:49:31.519,15911.784199999995,1,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,15:49:36.665,15:49:42.356,5691.039300000004,0,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,15:49:49.287,15:50:09.817,20530.0318,0,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,15:50:13.444,15:50:55.3,41559.668599999975,3,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,15:51:00.402,15:51:28.472,28070.18359999999,3,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,15:51:31.848,15:51:37.782,5934.291000000026,0,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,15:51:41.912,15:51:50.715,8802.372900000017,1,True,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
Pause,15:51:53.223,15:51:56.35,2811.6421000000555,1,False,,sub-06,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,16:17:28.678,16:17:47.817,19139.7156,0,True,,sub-06,Obszary aktywowane spojrzeniem
IncreaseVolume,16:17:51.976,16:18:02.199,10222.580999999998,0,True,,sub-06,Obszary aktywowane spojrzeniem
PauseAndResume,16:18:04.795,16:18:11.126,6331.081400000003,0,True,,sub-06,Obszary aktywowane spojrzeniem
SetVideo,16:18:14.468,16:18:18.451,3982.991999999999,0,True,,sub-06,Obszary aktywowane spojrzeniem
FeedForward,16:18:21.983,16:18:53.338,31355.144199999995,7,True,,sub-06,Obszary aktywowane spojrzeniem
PauseAndResume,16:18:57.728,16:19:02.355,4627.306700000001,0,True,,sub-06,Obszary aktywowane spojrzeniem
ReduceVolume,16:19:06.405,16:19:18.177,11772.170599999998,0,True,,sub-06,Obszary aktywowane spojrzeniem
SetPanelAndVideo,16:19:22.914,16:19:30.332,7418.359499999991,0,True,,sub-06,Obszary aktywowane spojrzeniem
FeedForward,16:19:35.608,16:19:49.265,13656.952600000019,1,True,,sub-06,Obszary aktywowane spojrzeniem
Rewind,16:19:52.247,16:21:15.923,83675.5478,7,True,,sub-06,Obszary aktywowane spojrzeniem
ReduceVolume,16:21:25.228,16:21:45.226,19998.046999999962,2,True,,sub-06,Obszary aktywowane spojrzeniem
PauseAndResume,16:21:52.756,16:22:01.47,8291.574799999944,0,True,,sub-06,Obszary aktywowane spojrzeniem
SetPanelAndVideo,16:22:07.265,16:22:11.734,4469.174999999987,1,True,,sub-06,Obszary aktywowane spojrzeniem
Pause,16:22:14.383,16:22:18.678,4294.321399999957,1,False,,sub-06,Obszary aktywowane spojrzeniem
FeedForward,16:42:26.200,16:42:53.730,27530.2206,1,True,,sub-06,Przyciski wzrokowe
ReduceVolume,16:42:58.98,16:43:09.507,11408.227199999996,2,True,,sub-06,Przyciski wzrokowe
PauseAndResume,16:43:16.38,16:43:24.869,8831.335500000001,0,True,,sub-06,Przyciski wzrokowe
SetVideo,16:43:30.821,16:43:38.382,7561.088600000003,0,True,,sub-06,Przyciski wzrokowe
FeedForward,16:43:41.926,16:43:48.469,6543.229800000001,1,True,,sub-06,Przyciski wzrokowe
Rewind,16:43:53.259,16:44:03.830,10570.562999999996,1,True,,sub-06,Przyciski wzrokowe
PauseAndResume,16:44:06.721,16:44:14.954,8232.976599999995,0,True,,sub-06,Przyciski wzrokowe
IncreaseVolume,16:44:19.161,16:44:25.693,6531.3979999999865,0,False,,sub-06,Przyciski wzrokowe
SetPanelAndVideo,16:44:30.754,16:44:40.406,9651.940700000006,3,True,,sub-06,Przyciski wzrokowe
IncreaseVolume,16:44:46.993,16:44:58.954,11960.671800000013,1,True,,sub-06,Przyciski wzrokowe
PauseAndResume,16:45:02.813,16:45:09.32,6219.894499999995,0,True,,sub-06,Przyciski wzrokowe
SetPanelAndVideo,16:45:14.18,16:45:18.519,4500.717699999979,1,True,,sub-06,Przyciski wzrokowe
FeedForward,16:45:23.32,16:45:43.148,20116.141000000003,0,True,,sub-06,Przyciski wzrokowe
Pause,16:45:46.37,16:45:49.725,3688.574599999993,1,False,,sub-06,Przyciski wzrokowe
PauseAndResume,17:30:25.377,17:30:33.374,7996.509200000004,3,False,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,17:30:33.374,17:30:47.71,13697.072899999992,3,True,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,17:30:51.715,17:31:05.627,13911.810600000004,6,False,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,17:31:12.531,17:31:23.545,11014.551699999995,3,True,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,17:31:27.107,17:31:31.24,3917.3545000000013,0,True,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,17:31:35.425,17:31:41.56,5631.064700000003,2,False,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,17:31:41.56,17:31:47.334,6278.371299999999,0,False,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,17:25:48.795,17:27:17.388,88592.7864,0,True,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,17:27:23.413,17:28:43.397,79984.5308,4,True,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,17:28:47.997,17:28:51.848,3850.904600000009,0,True,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,17:28:55.254,17:28:58.987,3733.330000000016,0,True,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,17:29:04.7,17:29:12.194,8187.363799999992,0,False,,sub-05,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,18:20:17.270,18:20:29.277,12006.228600000002,0,True,,sub-05,Obszary aktywowane spojrzeniem
PauseAndResume,18:20:33.358,18:20:37.902,4544.653200000002,0,True,,sub-05,Obszary aktywowane spojrzeniem
SetPanelAndVideo,18:20:42.662,18:20:49.195,6533.223100000003,1,True,,sub-05,Obszary aktywowane spojrzeniem
FeedForward,18:20:58.893,18:21:11.661,12768.389199999998,0,True,,sub-05,Obszary aktywowane spojrzeniem
Pause,18:21:13.830,18:21:16.322,2491.7627000000066,1,False,,sub-05,Obszary aktywowane spojrzeniem
FeedForward,18:17:55.423,18:18:04.246,8823.374499999998,0,True,,sub-05,Obszary aktywowane spojrzeniem
Rewind,18:18:07.585,18:18:16.281,8695.8229,0,True,,sub-05,Obszary aktywowane spojrzeniem
ReduceVolume,18:18:20.350,18:18:35.990,15640.1385,0,True,,sub-05,Obszary aktywowane spojrzeniem
PauseAndResume,18:18:40.159,18:18:44.439,4280.237799999988,0,True,,sub-05,Obszary aktywowane spojrzeniem
SetVideo,18:18:48.168,18:18:51.530,3361.930999999997,0,False,,sub-05,Obszary aktywowane spojrzeniem
PauseAndResume,18:18:55.89,18:18:59.525,4435.768499999991,0,True,,sub-05,Obszary aktywowane spojrzeniem
ReduceVolume,18:19:03.144,18:19:10.519,7375.578099999999,0,True,,sub-05,Obszary aktywowane spojrzeniem
SetPanelAndVideo,18:19:14.680,18:19:24.916,10235.7834,5,True,,sub-05,Obszary aktywowane spojrzeniem
FeedForward,18:19:29.752,18:19:40.939,11187.079400000002,0,True,,sub-05,Obszary aktywowane spojrzeniem
FeedForward,17:50:43.954,17:50:57.364,13410.0533,1,True,,sub-05,Przyciski wzrokowe
Rewind,17:51:03.20,17:51:11.839,8819.1129,1,True,,sub-05,Przyciski wzrokowe
ReduceVolume,17:51:16.495,17:51:28.159,11664.0884,1,True,,sub-05,Przyciski wzrokowe
PauseAndResume,17:51:33.819,17:51:40.509,6689.351699999991,0,True,,sub-05,Przyciski wzrokowe
SetVideo,17:51:46.82,17:51:49.587,3505.3074000000047,0,True,,sub-05,Przyciski wzrokowe
PauseAndResume,17:51:54.889,17:52:01.212,6323.6495,0,True,,sub-05,Przyciski wzrokowe
IncreaseVolume,17:52:05.111,17:52:09.837,4725.639599999995,0,False,,sub-05,Przyciski wzrokowe
SetPanelAndVideo,17:52:15.342,17:52:27.589,12247.740900000004,3,False,,sub-05,Przyciski wzrokowe
FeedForward,17:52:34.176,17:52:42.557,8380.370400000013,1,True,,sub-05,Przyciski wzrokowe
IncreaseVolume,17:52:47.687,17:52:52.222,4535.454700000002,0,True,,sub-05,Przyciski wzrokowe
PauseAndResume,17:52:57.597,17:53:03.277,5679.11069999999,0,True,,sub-05,Przyciski wzrokowe
SetPanelAndVideo,17:53:07.978,17:53:12.975,4996.952099999995,1,True,,sub-05,Przyciski wzrokowe
FeedForward,17:53:17.522,17:53:27.637,10115.486000000004,0,True,,sub-05,Przyciski wzrokowe
Pause,17:53:30.588,17:53:33.615,3027.1643000000045,1,False,,sub-05,Przyciski wzrokowe
FeedForward,18:33:20.139,18:33:36.822,16682.712900000002,0,True,,sub-04,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,18:33:42.288,18:33:54.195,11907.255300000004,0,True,,sub-04,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,18:33:56.32,18:34:14.18,17986.43329999999,1,True,,sub-04,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,18:34:17.188,18:34:22.65,4877.7837,0,True,,sub-04,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,18:34:25.684,18:34:33.888,8204.04849999999,0,True,,sub-04,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,18:34:38.343,18:34:42.144,3801.5201999999986,0,True,,sub-04,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,18:34:45.866,18:34:57.771,11905.174499999996,2,True,,sub-04,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,18:35:03.134,18:35:17.738,14604.005300000019,0,True,,sub-04,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,18:35:20.945,18:35:39.561,18616.2297,10,True,,sub-04,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,18:05:40.963,18:05:57.32,16068.099300000002,1,True,,sub-04,Obszary aktywowane spojrzeniem
ReduceVolume,18:05:57.262,18:06:06.875,9613.194200000004,5,False,,sub-04,Obszary aktywowane spojrzeniem
PauseAndResume,18:06:11.578,18:06:20.968,9390.4747,0,True,,sub-04,Obszary aktywowane spojrzeniem
SetVideo,18:06:26.739,18:06:30.749,4010.018800000005,0,True,,sub-04,Obszary aktywowane spojrzeniem
FeedForward,18:06:36.658,18:06:47.264,10606.149700000009,0,True,,sub-04,Obszary aktywowane spojrzeniem
Rewind,18:06:51.906,18:07:07.516,15610.611800000011,2,True,,sub-04,Obszary aktywowane spojrzeniem
PauseAndResume,18:07:11.240,18:07:14.801,3560.5470999999957,0,True,,sub-04,Obszary aktywowane spojrzeniem
IncreaseVolume,18:07:19.970,18:07:28.249,8278.842400000009,0,True,,sub-04,Obszary aktywowane spojrzeniem
SetPanelAndVideo,18:07:34.9,18:07:41.669,7659.50529999999,0,True,,sub-04,Obszary aktywowane spojrzeniem
IncreaseVolume,18:07:50.700,18:08:03.356,12655.454100000004,0,True,,sub-04,Obszary aktywowane spojrzeniem
PauseAndResume,18:08:07.453,18:08:11.738,4285.587799999979,0,True,,sub-04,Obszary aktywowane spojrzeniem
SetPanelAndVideo,18:08:17.322,18:08:22.796,5474.385999999999,1,True,,sub-04,Obszary aktywowane spojrzeniem
FeedForward,18:08:28.19,18:08:42.906,14887.15399999998,1,True,,sub-04,Obszary aktywowane spojrzeniem
Pause,18:08:45.592,18:08:47.792,2199.3810999999987,1,False,,sub-04,Obszary aktywowane spojrzeniem
FeedForward,19:00:45.818,19:01:27.362,41544.1183,5,True,,sub-04,Przyciski wzrokowe
IncreaseVolume,19:01:31.789,19:01:42.71,10282.436100000006,1,True,,sub-04,Przyciski wzrokowe
PauseAndResume,19:01:44.612,19:01:56.75,11463.651200000008,0,True,,sub-04,Przyciski wzrokowe
SetVideo,19:02:01.909,19:02:05.837,3927.6203000000096,0,True,,sub-04,Przyciski wzrokowe
FeedForward,19:02:09.647,19:02:26.316,16669.3643,3,True,,sub-04,Przyciski wzrokowe
PauseAndResume,19:02:31.182,19:02:36.277,5095.174499999994,0,True,,sub-04,Przyciski wzrokowe
ReduceVolume,19:02:39.365,19:02:51.890,12524.722500000005,1,True,,sub-04,Przyciski wzrokowe
SetPanelAndVideo,19:02:58.358,19:03:04.11,5652.715100000001,0,False,,sub-04,Przyciski wzrokowe
FeedForward,19:03:10.285,19:03:22.687,12401.836499999976,0,True,,sub-04,Przyciski wzrokowe
Rewind,19:03:27.661,19:03:33.893,6232.417199999996,1,True,,sub-04,Przyciski wzrokowe
ReduceVolume,19:03:37.411,19:03:41.814,4403.363899999997,0,True,,sub-04,Przyciski wzrokowe
PauseAndResume,19:03:45.51,19:03:57.749,12698.771500000004,0,True,,sub-04,Przyciski wzrokowe
SetPanelAndVideo,19:04:03.3,19:04:07.95,4092.2592,1,True,,sub-04,Przyciski wzrokowe
Pause,19:04:11.386,19:04:12.251,865.3902999999991,1,False,,sub-04,Przyciski wzrokowe
FeedForward,13:16:43.108,13:17:03.42,19934.0054,1,True,,sub-03,Obszary aktywowane spojrzeniem
Rewind,13:17:08.340,13:17:27.997,19657.318799999994,2,True,,sub-03,Obszary aktywowane spojrzeniem
IncreaseVolume,13:17:34.387,13:18:04.757,30370.5738,4,True,,sub-03,Obszary aktywowane spojrzeniem
PauseAndResume,13:18:08.793,13:18:17.962,9168.804600000003,0,True,,sub-03,Obszary aktywowane spojrzeniem
SetVideo,13:18:23.33,13:18:26.547,3513.9853000000007,0,True,,sub-03,Obszary aktywowane spojrzeniem
PauseAndResume,13:18:34.172,13:18:39.58,4886.018800000005,0,True,,sub-03,Obszary aktywowane spojrzeniem
ReduceVolume,13:18:44.108,13:18:52.63,7954.962700000018,0,True,,sub-03,Obszary aktywowane spojrzeniem
SetPanelAndVideo,13:18:57.197,13:19:04.479,7282.512000000017,0,True,,sub-03,Obszary aktywowane spojrzeniem
FeedForward,13:19:10.296,13:19:17.519,7222.665299999992,1,True,,sub-03,Obszary aktywowane spojrzeniem
IncreaseVolume,13:19:18.668,13:19:30.127,11458.727199999996,2,True,,sub-03,Obszary aktywowane spojrzeniem
PauseAndResume,13:19:37.796,13:19:50.311,12515.6587,5,True,,sub-03,Obszary aktywowane spojrzeniem
SetPanelAndVideo,13:19:55.798,13:20:04.684,8885.376199999999,4,True,,sub-03,Obszary aktywowane spojrzeniem
FeedForward,13:20:13.430,13:20:34.907,21476.76819999999,0,True,,sub-03,Obszary aktywowane spojrzeniem
Pause,13:20:36.798,13:20:39.74,2275.975399999996,1,False,,sub-03,Obszary aktywowane spojrzeniem
FeedForward,13:51:42.803,13:52:01.235,18432.0601,1,True,,sub-03,Przyciski wzrokowe
ReduceVolume,13:52:06.841,13:52:18.343,11501.6158,0,True,,sub-03,Przyciski wzrokowe
PauseAndResume,13:52:29.703,13:52:45.39,15336.840799999998,1,True,,sub-03,Przyciski wzrokowe
SetVideo,13:52:51.331,13:52:55.775,4444.294699999999,0,True,,sub-03,Przyciski wzrokowe
FeedForward,13:53:00.27,13:53:13.907,13880.208499999993,4,True,,sub-03,Przyciski wzrokowe
Rewind,13:53:18.763,13:53:46.962,28199.25210000001,3,True,,sub-03,Przyciski wzrokowe
PauseAndResume,13:53:52.176,13:54:02.234,10058.350000000006,2,True,,sub-03,Przyciski wzrokowe
IncreaseVolume,13:54:05.954,13:54:12.907,6953.622499999998,1,True,,sub-03,Przyciski wzrokowe
SetPanelAndVideo,13:54:16.514,13:54:22.345,5831.140400000004,0,True,,sub-03,Przyciski wzrokowe
IncreaseVolume,13:54:27.395,13:54:35.769,8373.659500000009,0,False,,sub-03,Przyciski wzrokowe
PauseAndResume,13:54:38.768,13:54:51.151,12382.602799999993,0,True,,sub-03,Przyciski wzrokowe
SetPanelAndVideo,13:54:55.780,13:55:01.719,5939.414299999976,1,True,,sub-03,Przyciski wzrokowe
FeedForward,13:55:05.696,13:55:27.187,21490.696,1,True,,sub-03,Przyciski wzrokowe
Pause,13:55:29.427,13:55:33.20,3593.612300000008,1,False,,sub-03,Przyciski wzrokowe
FeedForward,18:53:55.15,18:54:04.862,9846.0353,0,True,,sub-02,Obszary aktywowane spojrzeniem
Rewind,18:54:08.25,18:54:19.64,11039.7094,0,True,,sub-02,Obszary aktywowane spojrzeniem
IncreaseVolume,18:54:23.410,18:54:30.981,7570.575799999999,0,True,,sub-02,Obszary aktywowane spojrzeniem
PauseAndResume,18:54:36.265,18:54:41.495,5230.033199999998,0,True,,sub-02,Obszary aktywowane spojrzeniem
SetVideo,18:54:44.794,18:54:48.918,4124.267500000002,0,True,,sub-02,Obszary aktywowane spojrzeniem
PauseAndResume,18:54:52.438,18:54:57.672,5233.407800000015,0,True,,sub-02,Obszary aktywowane spojrzeniem
ReduceVolume,18:55:00.687,18:55:09.973,9285.874500000004,0,True,,sub-02,Obszary aktywowane spojrzeniem
SetPanelAndVideo,18:55:20.895,18:55:31.365,10469.966799999997,0,True,,sub-02,Obszary aktywowane spojrzeniem
FeedForward,18:55:39.954,18:55:59.566,19611.5631,0,True,,sub-02,Obszary aktywowane spojrzeniem
ReduceVolume,18:56:03.413,18:56:13.546,10133.408000000025,0,True,,sub-02,Obszary aktywowane spojrzeniem
PauseAndResume,18:56:15.968,18:56:20.419,4450.766800000012,0,True,,sub-02,Obszary aktywowane spojrzeniem
SetPanelAndVideo,18:56:24.906,18:56:29.799,4892.74709999998,1,True,,sub-02,Obszary aktywowane spojrzeniem
FeedForward,18:56:35.379,18:57:14.427,39047.9527,12,True,,sub-02,Obszary aktywowane spojrzeniem
Pause,18:57:15.753,18:57:18.327,2573.5329000000197,1,False,,sub-02,Obszary aktywowane spojrzeniem
FeedForward,13:20:51.107,13:21:42.150,51042.5678,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,13:21:45.463,13:22:59.80,73616.74740000001,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,13:23:04.690,13:23:56.423,51733.82309999998,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,13:23:56.423,13:24:04.511,8087.327900000004,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,13:24:22.163,13:24:28.742,6579.881100000028,2,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,13:24:35.445,13:24:40.619,5174.094000000012,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,13:24:44.419,13:26:28.319,103900.3421,2,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,13:26:31.522,13:26:35.380,3857.8048000000417,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,13:26:40.171,13:27:13.530,33359.82760000002,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,13:27:19.814,13:28:14.313,54499.6593,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,13:28:17.646,13:28:27.481,9834.30680000002,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,13:28:34.98,13:28:39.273,5174.7789999999795,1,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,13:28:44.396,13:30:27.259,102862.47809999996,0,True,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
Pause,13:30:28.897,13:30:31.64,2167.517899999977,1,False,,sub-01,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,12:52:30.911,12:52:52.256,21344.5839,0,True,,sub-01,Obszary aktywowane spojrzeniem
ReduceVolume,12:53:00.146,12:53:24.246,24099.9262,0,True,,sub-01,Obszary aktywowane spojrzeniem
PauseAndResume,12:53:30.584,12:53:36.569,5984.584299999988,0,True,,sub-01,Obszary aktywowane spojrzeniem
SetPanelAndVideo,12:53:46.567,12:53:56.988,10420.821599999996,2,True,,sub-01,Obszary aktywowane spojrzeniem
Rewind,12:54:02.896,12:54:12.620,9723.516199999998,0,True,,sub-01,Obszary aktywowane spojrzeniem
PauseAndResume,12:54:19.80,12:54:29.181,10100.262300000002,0,True,,sub-01,Obszary aktywowane spojrzeniem
IncreaseVolume,12:54:37.160,12:55:04.931,27770.99179999999,5,True,,sub-01,Obszary aktywowane spojrzeniem
SetPanelAndVideo,12:55:05.447,12:55:24.186,18738.5815,4,True,,sub-01,Obszary aktywowane spojrzeniem
FeedForward,12:55:32.538,12:55:44.436,11897.506800000005,0,True,,sub-01,Obszary aktywowane spojrzeniem
Rewind,12:55:48.186,12:55:55.242,7056.494800000015,0,True,,sub-01,Obszary aktywowane spojrzeniem
ReduceVolume,12:56:00.528,12:56:10.327,9799.045000000013,0,True,,sub-01,Obszary aktywowane spojrzeniem
PauseAndResume,12:56:14.572,12:56:27.535,12962.824299999978,0,True,,sub-01,Obszary aktywowane spojrzeniem
SetVideo,12:56:32.291,12:56:37.975,5684.413900000042,0,True,,sub-01,Obszary aktywowane spojrzeniem
Pause,12:56:39.655,12:56:41.798,2142.746600000013,1,False,,sub-01,Obszary aktywowane spojrzeniem
FeedForward,12:22:30.661,12:22:41.43,10381.678600000003,0,True,,sub-01,Przyciski wzrokowe
Rewind,12:22:48.552,12:23:01.244,12691.997600000002,1,True,,sub-01,Przyciski wzrokowe
IncreaseVolume,12:23:08.844,12:23:38.504,29659.2683,3,True,,sub-01,Przyciski wzrokowe
PauseAndResume,12:23:45.711,12:23:51.756,6044.7209,0,True,,sub-01,Przyciski wzrokowe
